x,y,b,r
1044.0,211.0,33.32,2.8284271247461903
1300.0,351.0,31.68,2.8284271247461903
1395.0,249.0,31.88,2.8284271247461903
239.0,1131.0,33.28,2.8284271247461903
910.0,735.0,31.92,2.8284271247461903
774.0,250.0,31.56,2.8284271247461903
1766.0,850.0,31.72,2.8284271247461903
117.0,294.0,33.88,2.8284271247461903
75.0,1047.0,38.04,2.8284271247461903
738.0,225.0,32.12,2.8284271247461903
634.0,650.0,31.28,2.8284271247461903
58.0,1106.0,34.64,2.8284271247461903
1422.0,937.0,31.76,2.8284271247461903
1634.0,548.0,31.24,2.8284271247461903
1306.0,734.0,31.88,2.8284271247461903
1625.0,1217.0,31.8,2.8284271247461903
1000.0,1015.0,31.76,2.8284271247461903
1230.0,420.0,31.44,2.8284271247461903
507.0,594.0,31.6,2.8284271247461903
1548.0,1110.0,33.2,2.8284271247461903
328.0,794.0,31.44,2.8284271247461903
1135.0,26.0,31.64,2.8284271247461903
229.0,531.0,32.6,2.8284271247461903
1956.0,167.0,31.28,2.8284271247461903
1586.0,1176.0,31.2,2.8284271247461903
304.0,812.0,31.04,2.8284271247461903
731.0,484.0,30.84,2.8284271247461903
1361.0,958.0,30.84,2.8284271247461903
487.0,95.0,31.16,2.8284271247461903
906.0,1093.0,30.76,2.8284271247461903
2079.0,479.0,31.2,2.8284271247461903
148.0,1165.0,34.32,2.8284271247461903
569.0,1173.0,31.8,2.8284271247461903
728.0,699.0,30.84,2.8284271247461903
24.0,431.0,32.48,2.8284271247461903
983.0,658.0,30.76,2.8284271247461903
1353.0,1111.0,31.0,2.8284271247461903
328.0,51.0,30.76,2.8284271247461903
494.0,867.0,31.04,2.8284271247461903
80.0,187.0,32.64,2.8284271247461903
12.0,642.0,32.6,2.8284271247461903
1686.0,981.0,30.4,2.8284271247461903
1390.0,729.0,30.8,2.8284271247461903
607.0,875.0,30.56,2.8284271247461903
52.0,1130.0,33.28,2.8284271247461903
798.0,670.0,30.32,2.8284271247461903
39.0,23.0,32.32,2.8284271247461903
975.0,178.0,30.4,2.8284271247461903
203.0,438.0,31.44,2.8284271247461903
847.0,245.0,30.12,2.8284271247461903
147.0,414.0,31.16,2.8284271247461903
997.0,1161.0,30.28,2.8284271247461903
1972.0,471.0,30.12,2.8284271247461903
296.0,977.0,31.04,2.8284271247461903
814.0,1199.0,30.16,2.8284271247461903
134.0,322.0,32.12,2.8284271247461903
920.0,159.0,30.04,2.8284271247461903
502.0,872.0,30.04,2.8284271247461903
952.0,495.0,29.72,2.8284271247461903
1343.0,336.0,29.88,2.8284271247461903
326.0,513.0,29.88,2.8284271247461903
1635.0,960.0,30.0,2.8284271247461903
933.0,389.0,29.96,2.8284271247461903
686.0,1042.0,29.96,2.8284271247461903
1767.0,547.0,29.64,2.8284271247461903
258.0,854.0,31.0,2.8284271247461903
453.0,220.0,29.88,2.8284271247461903
390.0,133.0,29.8,2.8284271247461903
1548.0,111.0,40.28,2.8284271247461903
220.0,772.0,30.6,2.8284271247461903
414.0,215.0,29.8,2.8284271247461903
924.0,905.0,29.68,2.8284271247461903
255.0,964.0,30.88,2.8284271247461903
1234.0,1229.0,29.72,2.8284271247461903
738.0,62.0,29.68,2.8284271247461903
1066.0,442.0,29.92,2.8284271247461903
